Year,P_Yield,Yield,Prcp_Avg,Temp_m1,Temp_m2,Temp_m3,Temp_m4,Temp_m5,Rhm_m1,Rhm_m2,Rhm_m3,Rhm_m4,Rhm_m5,ToaDR_m1,ToaDR_m2,ToaDR_m3,ToaDR_m4,ToaDR_m5
1982,140742,65140,1.6,26.23,25.93,25.98,26.6,27.76,83.62,80.19,74.94,65,56.19,34.92,31.89,30.22,30.89,33.43
1983,65140,99640,2.9,26.96,26.03,25.83,25.87,27.83,81.06,86.75,82.44,72.56,60.31,34.93,31.9,30.22,30.88,33.42
1984,99640,139891,3.44,26.11,25.79,25.1,25.12,26.52,85.12,84.38,82.62,79.62,71.94,34.91,31.88,30.22,30.9,33.45
1985,139891,140087,5.14,25.99,26.15,25.12,24.88,25.62,83.69,83.44,81.69,81.94,75.81,34.93,31.9,30.22,30.88,33.42
1986,140087,179104,4.09,25.91,26.01,25.57,24.8,24.89,84.56,81.75,84.69,81.5,74.44,34.96,31.93,30.22,30.86,33.4
1987,179104,135967,2.16,26.64,26.12,26.38,26.29,27.42,82.81,83.19,76.5,71.81,59.81,34.99,31.95,30.23,30.85,33.38
1988,135967,165855,2.8,26.58,26.72,25.62,25.82,27.33,84,85.38,81,74.81,69.31,34.92,31.9,30.22,30.89,33.46
1989,165855,199478,3.75,26.23,26.12,25.48,25.52,26.28,82.44,85.19,84.69,82.56,72.94,34.96,31.93,30.23,30.91,33.44
1990,199478,237306,3.11,26.96,27.14,26.96,26.41,26.51,81.69,79.94,73.81,73.94,73.5,34.99,31.95,30.25,30.88,33.41
1991,237306,205224,1.37,26.12,25.96,26.26,27.01,28.1,85.31,82.88,74.56,65.69,56.12,35.02,31.97,30.24,30.87,33.4
1992,205224,297580,3.41,26.29,26.53,25.79,26.15,26.62,87.19,84,81.94,74.38,72,34.93,31.9,30.22,30.91,33.46
1993,297580,227134,3.33,25.9,26.09,25.79,25.63,26.8,87.25,84.5,84.75,75.38,70.06,34.95,31.91,30.22,30.89,33.44
1994,227134,188903,1.39,26.01,25.31,25.48,26.1,27.51,85.69,80.94,75.12,64.75,55.75,34.97,31.93,30.22,30.87,33.41
1995,188903,251597,2.94,26.28,26.27,25.92,25.54,27.16,85.62,84.44,86,80.06,66.06,34.99,31.95,30.23,30.85,33.38
1996,251597,248946,2.15,26.46,26.26,27.05,27.11,27.73,83.25,80.44,76.81,71.25,68,34.91,31.88,30.21,30.9,33.45
1997,248946,207019,2.36,26.2,26.32,25.76,25.98,26.6,85.88,82.69,78.25,68.81,63.06,34.93,31.9,30.22,30.89,33.43
1998,207019,237156,4.66,27.22,26.93,26.47,26.31,26.46,87.06,86.12,87.12,85.56,79,34.97,31.93,30.23,30.89,33.42
1999,237156,233725,3.1,26.33,25.77,25.45,25.73,26.72,84.94,83.31,81.25,74.12,67.5,35,31.96,30.24,30.87,33.4
2000,233725,225967,2.23,26.28,26.09,25.63,26.7,27.74,84.94,84.94,80.31,70.44,62.75,34.93,31.89,30.23,30.92,33.49
2001,225967,232283,3.08,26.35,26.41,25.66,25.91,27.34,85.25,83.19,83.56,76.88,64.31,34.97,31.94,30.24,30.9,33.43
2002,232283,230658,1.15,26.58,26.67,26.92,27.8,28.12,84.75,80.75,72.12,62.25,54.81,35,31.96,30.25,30.87,33.41
2003,230658,229636,1.75,27.05,26.35,26.27,26.83,28.36,82.62,83.38,76.5,65.19,55.5,35.01,31.97,30.24,30.86,33.38
2004,229636,230859,2.8,26.84,26.56,25.37,25.82,26.83,84.88,83.38,79.25,77.69,63.94,34.94,31.9,30.22,30.89,33.44
2005,230859,230384,3.83,26.51,26.26,26.26,25.38,26.3,85.31,81.5,84.56,81.88,73.62,34.95,31.92,30.22,30.88,33.42
2006,230384,132261,2.89,26.23,25.94,25.15,25.55,26.94,85.56,85.44,82.5,74.69,62,34.98,31.95,30.23,30.86,33.39
2007,132261,123209,2.02,26.53,26.31,26.24,26.55,27.83,85.06,85.38,80.31,72.38,60.69,35,31.96,30.23,30.85,33.37
2008,123209,167345,1.38,26.11,25.74,26.37,27.02,27.94,84.88,81.5,75.56,63.25,63.44,34.92,31.89,30.21,30.89,33.44
2009,167345,175156,4.21,26.61,26.3,25.69,25.23,26.71,84.75,85.5,84.06,79.31,70.12,34.95,31.91,30.22,30.88,33.42
2010,175156,187992,6.65,27.08,26.75,26.05,25.87,26.12,84.5,87.5,87.12,85.44,83,34.98,31.94,30.23,30.87,33.4
2011,187992,112273,3.06,26.14,26.11,25.21,25.38,26.76,84.25,84.75,81.75,78.44,66.62,35.01,31.97,30.24,30.86,33.38
2012,112273,152416,2.16,26.4,26,25.33,25.91,27.58,83.81,83.56,82.06,71.5,58.88,34.94,31.9,30.23,30.9,33.47
2013,152416,99318,5.79,26.7,26.58,26.14,25.2,25.4,84.69,85.5,86.12,85.56,79.06,34.96,31.93,30.24,30.9,33.44
2014,99318,125467,3.3,26.83,26.8,26.55,25.75,26.33,83.38,85.06,83.69,82.06,74.12,34.99,31.95,30.24,30.88,33.42
2015,125467,129794,3.12,26.39,26,25.68,26.39,27.84,84.75,84.19,81.5,72.44,61.44,35.03,31.98,30.25,30.87,33.39
2016,129794,112157,4.78,27.1,27.2,26.49,26.26,26.42,85.38,85.06,84.31,83.94,79.88,34.93,31.9,30.22,30.9,33.46
2017,112157,105553,3.36,26.56,26.39,25.89,25.78,27.2,84.31,85.06,84.38,79.62,68.06,34.95,31.92,30.23,30.89,33.43
2018,105553,166195,1.57,26.76,26.56,26.54,26.64,28.19,84.75,81.69,77.19,68.62,56.88,34.97,31.94,30.23,30.87,33.4
2019,166195,64334,2.34,27.12,26.63,26.26,27.05,28.3,84.62,83.06,76,65.94,56.38,34.99,31.96,30.23,30.86,33.38
2020,64334,135874,4.24,26.95,27,26.19,25.78,27.04,85.38,86.06,84.12,80.75,74.38,34.92,31.9,30.23,30.91,33.46
